first,last,Rank,linkedin,Growth,Jan 24,title,company,location,Jul 23,Total Ranking,Top Voice,Followers Added
Chris,Rocas,1,https://www.linkedin.com/in/chrisrocas,250%,53170,VP Sales,TemperPak,New York,15201,53,,37969
Josh,Braun,2,https://www.linkedin.com/in/josh-braun/,12%,212212,Founder,Braun Training,"Boca Raton, Florida",189612,6,Top Voice,22600
Chris,Orlob,3,https://www.linkedin.com/in/chrisorlob/,19%,124184,Co-Founder & CEO,QuotaSignal,"San Mateo, California",104252,13,,19932
Matthew,Lakajev,4,https://www.linkedin.com/in/mattlakajev/,222%,25663,Founder,Unlock AI,"Lavender Bay, New South Wales, Australia",7974,128,,17689
Ryan,Walsh,5,https://www.linkedin.com/in/ryancwalsh/,22%,90976,Founder and CEO,RepVue,"Chapel Hill, North Carolina",74711,18,,16265
Jason,Lemkin,6,https://www.linkedin.com/in/jasonmlemkin/,6%,255193,Trusted Advisor,SaaS ,"Palo Alto, California",239792,3,,15401
Alexis,Scott,7,https://www.linkedin.com/in/alexisjscott/,30%,67336,Peer Ambassador - Sales Community,Gartner,"Boise, Idaho",51968,37,,15368
Nate,Nasralla,8,https://www.linkedin.com/in/natenasralla,39%,53751,Co-Founder,Fluint,"Denver, CO",38576,52,,15175
Christian,Krause,9,https://www.linkedin.com/in/chrisbits/,25%,75021,Founder of the SaaS Sales Academy,SaaS Sales Systems,Barcelona,59997,31,,15024
Samantha,McKenna,10,https://www.linkedin.com/in/samsalesli/,21%,83841,Founder,samsales Consulting,Washington,69303,19,Top Voice,14538
Sam,Jacobs,11,https://www.linkedin.com/in/samfjacobs/,22%,79290,Founder & CEO,Pavilion,"New York, New York",65151,21,,14139
Mike,Gallardo,12,https://www.linkedin.com/in/mike-gallardo-62a55b29/,65%,35154,Senior Sales Director,Deel,"Portland, Oregon",21348,93,,13806
Jen,Allen-Knuth,13,https://www.linkedin.com/in/demandjen1,39%,44286,Community Growth,Lavender,"Chicago, IL",31805,71,,12481
Andy,Mewborn,14,https://www.linkedin.com/in/amewborn/,7%,177479,Founder,Distribute,"Austin, Texas",165195,9,,12284
Darren,McKee,15,https://www.linkedin.com/in/mckeesaasbros/,13%,106564,Vice President of Sales,Skye,"Chapel Hill, NC",94690,17,,11874
Ian,Koniak,16,https://www.linkedin.com/in/iankoniak/,24%,60155,Founder & CEO,Ian Koniak Sales Coaching Inc.,"El Segundo, California",48449,43,,11706
Chris,Ritson,17,https://www.linkedin.com/in/chris-ritson/,45%,33767,Co-Founder + CEO,Flexprts,United Kingdom,23289,100,Top Sales Voice,10478
